name,link,complete,avg,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k,available,merged,flagged,moe,sha,precision
0-hero/Matter-0.1-7B,https://huggingface.co/0-hero/Matter-0.1-7B,True,63.39124834497326,61.774744027303754,82.13503286197968,62.42373141477038,42.43951281493511,77.82162588792423,53.75284306292646,True,False,False,False,035c8193ce71be90be7d90098669afb9164ec6cb,bfloat16
0-hero/Matter-0.1-7B-boost,https://huggingface.co/0-hero/Matter-0.1-7B-boost,True,63.22351669905468,62.62798634812287,81.5076677952599,61.967617756105334,54.702404374037016,75.92738752959748,42.60803639120546,True,False,False,False,ba56089eed1211f02e8d0ff47901e77b0cd48f83,bfloat16
0-hero/Matter-0.1-7B-boost-DPO,https://huggingface.co/0-hero/Matter-0.1-7B-boost-DPO,True,65.98585842820994,65.01706484641639,83.08105954989045,61.87380519083223,60.29363233989143,75.61168113654301,50.03790750568613,True,False,False,False,5bee9978fcf2188f1070b67f6d94be344fdd99c0,bfloat16
0-hero/Matter-0.1-7B-boost-DPO-preview,https://huggingface.co/0-hero/Matter-0.1-7B-boost-DPO-preview,True,65.76743531319973,64.59044368600682,82.87193786098386,62.017624708350624,58.859162129975715,75.84846093133386,50.41698256254739,True,False,False,False,d390fb35a781129efd26d53f7ecdb513c0c3da27,bfloat16
0-hero/Matter-0.1-7B-DPO-preview,https://huggingface.co/0-hero/Matter-0.1-7B-DPO-preview,True,64.87029026640703,62.71331058020478,82.99143596893049,62.70029890832761,45.79010104878946,78.84767166535123,56.17892342683851,True,False,False,False,78040e4754051df49dd907cf1fd46a6b8a6cc30f,bfloat16
0-hero/Matter-0.1-Slim-7B,https://huggingface.co/0-hero/Matter-0.1-Slim-7B,True,59.9629187830346,60.49488054607508,81.32842063333997,60.68136829879497,41.78982620141241,77.34806629834254,38.134950720242614,True,False,False,False,9259ec16319e314d0e189159302f0033cb01e964,bfloat16
0-hero/Matter-0.1-Slim-7B-A,https://huggingface.co/0-hero/Matter-0.1-Slim-7B-A,True,59.9629187830346,60.49488054607508,81.32842063333997,60.68136829879497,41.78982620141241,77.34806629834254,38.134950720242614,True,False,False,False,9259ec16319e314d0e189159302f0033cb01e964,bfloat16
0-hero/Matter-0.1-Slim-7B-B,https://huggingface.co/0-hero/Matter-0.1-Slim-7B-B,True,60.61204855274219,60.75085324232082,81.54750049790879,61.00698063926059,41.90848495351186,77.82162588792423,40.63684609552691,True,False,False,False,195d352943c0e71ddffb12eec30b479a07696d11,bfloat16
0-hero/Matter-0.1-Slim-7B-C,https://huggingface.co/0-hero/Matter-0.1-Slim-7B-C,True,62.23457535445149,61.348122866894194,81.75662218681538,61.4507092174214,43.48813666346923,77.97947908445147,47.384382107657316,True,False,False,False,ce9d68b563a4ad68ac6349672ca3b2f9ca492957,bfloat16
0-hero/Matter-0.1-Slim-7B-C-DPO,https://huggingface.co/0-hero/Matter-0.1-Slim-7B-C-DPO,True,63.44289844287528,63.48122866894198,83.12089225253933,60.629346142948336,46.52709265192007,78.45303867403315,48.44579226686884,True,False,False,False,129e2aecb1f5033821c0fbe148bb8aa994565112,bfloat16
